Location,January,February,March,April,May,June,July,August,September,October,November,December,Footnotes
United States,0.034,0.036,0.035,0.034,0.037,0.036,0.035,0.038,0.038,0.038,0.037,0.037,1
Alabama,0.024,0.023,0.023,0.023,0.023,0.023,0.024,0.025,0.027,0.028,0.028,0.028,
Alaska,0.039,0.039,0.038,0.039,0.04,0.041,0.043,0.044,0.045,0.046,0.046,0.046,
Arizona,0.037,0.037,0.036,0.036,0.037,0.038,0.039,0.041,0.042,0.042,0.042,0.042,
Arkansas,0.03,0.029,0.028,0.028,0.029,0.03,0.032,0.034,0.036,0.037,0.037,0.037,
California,0.045,0.045,0.045,0.045,0.045,0.046,0.047,0.048,0.05,0.051,0.051,0.051,
Colorado,0.03,0.03,0.03,0.03,0.031,0.031,0.032,0.032,0.033,0.033,0.033,0.033,
Connecticut,0.036,0.035,0.034,0.033,0.033,0.034,0.036,0.038,0.04,0.042,0.042,0.042,
Delaware,0.041,0.04,0.039,0.038,0.038,0.039,0.039,0.04,0.041,0.041,0.041,0.041,
District of Columbia,0.049,0.05,0.05,0.049,0.048,0.048,0.047,0.048,0.049,0.049,0.049,0.049,
Florida,0.028,0.028,0.028,0.027,0.028,0.028,0.029,0.03,0.03,0.031,0.031,0.031,
Georgia,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,
Hawaii,0.031,0.03,0.029,0.029,0.028,0.028,0.028,0.029,0.03,0.03,0.03,0.03,
Idaho,0.029,0.029,0.029,0.029,0.029,0.03,0.031,0.032,0.033,0.033,0.033,0.033,
Illinois,0.044,0.043,0.042,0.042,0.042,0.043,0.044,0.046,0.047,0.048,0.047,0.047,
Indiana,0.032,0.032,0.032,0.032,0.032,0.033,0.034,0.034,0.035,0.035,0.035,0.035,
Iowa,0.029,0.029,0.028,0.028,0.028,0.029,0.03,0.031,0.031,0.031,0.031,0.03,
Kansas,0.028,0.028,0.027,0.027,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,
Kentucky,0.041,0.04,0.04,0.04,0.041,0.041,0.042,0.042,0.043,0.043,0.043,0.043,
Louisiana,0.037,0.036,0.035,0.034,0.034,0.033,0.034,0.036,0.038,0.04,0.04,0.04,
Maine,0.025,0.024,0.024,0.024,0.025,0.026,0.028,0.03,0.032,0.034,0.034,0.034,
Maryland,0.024,0.022,0.02,0.019,0.019,0.019,0.019,0.021,0.022,0.023,0.022,0.022,
Massachusetts,0.035,0.036,0.035,0.032,0.033,0.033,0.032,0.033,0.033,0.034,0.033,0.032,
Michigan,0.04,0.038,0.037,0.036,0.036,0.037,0.038,0.04,0.041,0.042,0.041,0.041,
Minnesota,0.028,0.028,0.028,0.028,0.029,0.029,0.03,0.029,0.028,0.028,0.027,0.027,
Mississippi,0.035,0.033,0.032,0.031,0.031,0.031,0.031,0.032,0.032,0.032,0.032,0.032,
Missouri,0.028,0.028,0.028,0.029,0.029,0.03,0.031,0.032,0.033,0.033,0.033,0.033,
Montana,0.025,0.025,0.025,0.026,0.026,0.027,0.028,0.03,0.032,0.033,0.033,0.033,
Nebraska,0.021,0.021,0.02,0.02,0.021,0.022,0.023,0.024,0.025,0.025,0.025,0.025,
Nevada,0.052,0.052,0.051,0.05,0.05,0.05,0.05,0.051,0.052,0.053,0.053,0.053,
New Hampshire,0.02,0.019,0.018,0.018,0.018,0.02,0.021,0.023,0.025,0.026,0.026,0.026,
