GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4
 "00000","United States", ,SQGDP1,1,"...","Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",15844727.0,15922782.0,16047587.0,16136734.0,16353835.0,16396151.0,16420738.0,16561866.0,16611690.0,16713314.0,16809587.0,16915191.0,16843003.0,16943291.0,16854295.0,16485350.0,16298262.0,16269145.0,16326281.0,16502754.0,16582710.0,16743162.0,16872266.0,16960864.0,16920632.0,17035114.0,17031313.0,17222583.0,17367010.0,17444525.0,17469650.0,17489852.0,17662400.0,17709671.0,17860450.0,18016147.0,17953974.0,18185911.0,18406941.0,18500031.0,18666621.0,18782243.0,18857418.0,18892206.0,19001690.0,19062709.0,19197938.0,19304352.0,19398343.0,19506949.0,19660766.0,19882352.0,20044077.0,20150476.0,20276154.0,20304874.0,20431641.0,20602275.0,20843322.0,20985448.0,20693238.0,19056617.0,20548793.0,20771691.0,21058379.0,21389005.0,21571421.0,21960388.0,21903850.0,21919222.0,22066784.0,22249459.0,22403435.0,22539418.0,22780933.0,22960600.0,23053545.0,23223906.0,23400294.0,23542349.0
 "00000","United States", ,SQGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.791,81.189,81.825,82.279,83.386,83.602,83.728,84.447,84.701,85.219,85.710,86.249,85.881,86.392,85.938,84.057,83.103,82.955,83.246,84.146,84.553,85.372,86.030,86.482,86.276,86.860,86.841,87.816,88.553,88.948,89.076,89.179,90.059,90.300,91.069,91.862,91.545,92.728,93.855,94.330,95.179,95.769,96.152,96.329,96.888,97.199,97.888,98.431,98.910,99.464,100.248,101.378,102.203,102.745,103.386,103.532,104.179,105.049,106.278,107.003,105.513,97.168,104.776,105.913,107.374,109.060,109.990,111.974,111.685,111.764,112.516,113.448,114.233,114.926,116.158,117.074,117.548,118.416,119.316,120.040
 "00000","United States", ,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",12767286.0,12922656.0,13142642.0,13324204.0,13599160.0,13753424.0,13870188.0,14039560.0,14215651.0,14402082.0,14564117.0,14715058.0,14706538.0,14865701.0,14898999.0,14608209.0,14430902.0,14381236.0,14448882.0,14651249.0,14764610.0,14980193.0,15141607.0,15309474.0,15351448.0,15557539.0,15647680.0,15842259.0,16068805.0,16207115.0,16319541.0,16420419.0,16648189.0,16728687.0,16953838.0,17192019.0,17197738.0,17518508.0,17804228.0,17912079.0,18063529.0,18279784.0,18401626.0,18435137.0,18525933.0,18711702.0,18892639.0,19089379.0,19280084.0,19438643.0,19692595.0,20037088.0,20328553.0,20580912.0,20798730.0,20917867.0,21111600.0,21397938.0,21717171.0,21933217.0,21727657.0,19935444.0,21684551.0,22068767.0,22656793.0,23368861.0,23921991.0,24777038.0,25215491.0,25805791.0,26272011.0,26734277.0,27164359.0,27453815.0,27967697.0,28296967.0,28624069.0,29016714.0,29374914.0,29723864.0
 "01000","Alabama",5,SQGDP1,1,"...","Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",195673.0,197495.8,196798.5,199018.6,199142.9,200031.3,199875.0,200646.3,199991.2,201622.9,203021.2,203466.6,202569.5,203521.2,201866.4,195912.7,193411.8,193677.0,194399.8,195279.6,195899.5,198443.9,202056.5,201420.0,199677.1,200443.7,201353.8,204016.8,204204.3,205005.6,202857.9,202634.3,207096.6,206626.8,207985.4,206142.8,203241.7,205967.1,207514.9,207556.3,206947.5,208955.9,210102.0,209795.8,211142.4,212800.7,213240.6,214267.5,215654.5,215908.3,216407.7,218491.4,220062.1,220171.5,220569.5,222432.0,223030.4,224229.4,226283.6,227547.7,225887.3,208569.4,227249.5,227448.9,231794.4,233098.1,233262.8,236751.1,236482.7,236710.5,239032.4,242000.2,242878.0,243977.0,245845.8,248717.8,248659.8,250739.6,254444.5,256814.3
 "01000","Alabama",5,SQGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.332,91.173,90.852,91.876,91.934,92.344,92.272,92.628,92.325,93.079,93.724,93.930,93.516,93.955,93.191,90.443,89.288,89.411,89.744,90.150,90.437,91.611,93.279,92.985,92.180,92.534,92.954,94.184,94.270,94.640,93.649,93.546,95.606,95.389,96.016,95.165,93.826,95.084,95.799,95.818,95.537,96.464,96.993,96.852,97.473,98.239,98.442,98.916,99.556,99.674,99.904,100.866,101.591,101.642,101.825,102.685,102.961,103.515,104.463,105.047,104.280,96.286,104.909,105.001,107.007,107.609,107.685,109.296,109.172,109.277,110.349,111.719,112.124,112.631,113.494,114.820,114.793,115.753,117.464,118.558
 "01000","Alabama",5,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",155647.0,157994.9,158924.5,162142.8,163613.4,165663.2,166857.0,168059.3,169068.2,171632.2,173705.1,174582.5,174345.5,175917.8,176078.5,172320.4,170336.2,170148.0,170871.6,172150.0,173109.4,176268.0,180096.6,180569.0,179875.7,181660.2,183751.1,186299.8,187413.6,189100.7,188049.1,188559.5,193119.0,192936.0,195099.9,194771.3,192853.7,196536.8,199021.2,199845.9,200030.7,202898.3,204848.2,204676.1,205783.7,208578.1,209418.5,211516.7,214141.7,215066.6,216841.7,220411.9,223670.1,225398.8,226627.4,229358.8,231258.9,233386.0,236371.8,238176.2,237604.9,219394.4,241205.6,243096.4,251540.7,257209.0,261417.8,269906.3,274846.2,281675.9,288237.6,295036.9,299305.3,301828.8,307124.0,311484.2,313790.1,318080.0,324077.8,329002.4
 "02000","Alaska",8,SQGDP1,1,"...","Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",44023.9,44542.3,44267.3,44793.8,45815.9,47205.1,47812.7,49351.2,49737.7,50520.8,50563.9,49684.7,48550.1,47477.7,49548.0,54130.5,56280.9,55535.4,54243.0,53748.5,52420.4,53799.5,54367.7,54020.4,52334.2,53339.0,54149.9,56358.6,56280.5,57869.0,57662.9,56537.0,56001.0,54089.9,54509.0,53910.7,53151.3,53151.8,53275.8,53634.1,54065.0,53539.8,53509.2,53610.5,54055.6,53431.1,53174.9,53193.8,53407.3,53436.0,54001.1,53359.2,52891.0,52440.5,52378.3,52208.4,51848.1,51864.3,52977.9,52819.7,52321.5,48242.4,49759.1,51008.1,51163.7,51027.9,51471.8,52153.2,50074.2,50439.4,50687.4,51867.3,52603.5,53932.0,54828.4,54874.8,54710.6,54561.4,54857.0,55395.0
 "02000","Alaska",8,SQGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.209,83.177,82.664,83.647,85.556,88.150,89.284,92.158,92.879,94.342,94.422,92.780,90.662,88.659,92.525,101.082,105.098,103.706,101.292,100.369,97.889,100.464,101.525,100.877,97.728,99.604,101.119,105.243,105.097,108.064,107.679,105.576,104.575,101.006,101.789,100.672,99.254,99.255,99.486,100.155,100.960,99.979,99.922,100.111,100.942,99.776,99.298,99.333,99.732,99.785,100.841,99.642,98.768,97.927,97.810,97.493,96.820,96.850,98.930,98.635,97.704,90.087,92.919,95.252,95.542,95.289,96.117,97.390,93.508,94.190,94.653,96.856,98.231,100.712,102.386,102.472,102.166,101.887,102.439,103.444
 "02000","Alaska",8,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",37932.4,39329.4,41031.8,43546.1,43218.9,44835.2,45551.5,46201.3,46926.2,49162.3,50133.2,51603.7,52932.2,56305.4,57918.7,53830.5,51078.0,49645.2,49133.7,50806.7,52099.5,53222.9,54340.2,54953.2,54656.9,56987.5,57092.0,58912.8,58428.1,58601.3,58417.5,57835.7,58115.4,56886.2,58175.3,56954.9,57124.3,57404.2,56794.9,55026.2,52214.6,52180.8,51256.2,50645.2,50122.5,50897.0,51346.5,52121.2,53091.3,53127.9,53782.4,54202.1,54542.5,54573.2,55020.0,54912.1,54034.3,54126.1,54946.3,55091.6,53691.9,47521.3,50687.7,53232.9,55409.4,57337.1,59618.8,63408.9,63214.7,67637.8,67434.4,66800.4,66726.3,67068.1,68989.7,69440.0,69272.8,69794.2,70140.8,70668.1
 "04000","Arizona",6,SQGDP1,1,"...","Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",278000.0,282239.4,287212.2,287773.0,292978.3,293656.1,297228.7,301834.5,302720.3,305820.4,309295.5,308610.1,307724.1,306771.7,302880.9,291735.0,281857.8,276239.9,273797.2,277754.5,276732.1,280812.3,284144.8,287320.5,287340.2,288496.1,289990.1,295818.7,296784.1,297961.7,296789.8,296773.3,298558.9,297962.7,298623.3,300294.8,299928.8,300804.3,303144.0,303007.6,307062.6,308498.9,307658.2,311111.4,313558.8,317531.4,321787.1,323156.2,328167.2,330126.9,335744.3,338357.6,343718.4,344708.1,347777.9,349388.8,351655.7,356260.0,362967.1,367424.2,364001.8,345545.0,370730.4,379833.6,383197.7,390550.4,398028.3,408367.1,405972.9,408465.6,410845.9,415629.4,418484.3,421015.8,423551.0,426547.3,428803.1,432050.1,435344.6,438854.8
