"State Abbreviation","State Name","Reporting Period","State Expanded Medicaid","Preliminary or Updated","Final Report","New Applications Submitted to Medicaid and CHIP Agencies","New Applications Submitted to Medicaid and CHIP Agencies - footnotes","Applications for Financial Assistance Submitted to the State Based Marketplace","Applications for Financial Assistance Submitted to the State Based Marketplace - footnotes","Total Applications for Financial Assistance Submitted at State Level","Total Applications for Financial Assistance Submitted at State Level - footnotes","Individuals Determined Eligible for Medicaid at Application","Individuals Determined Eligible for Medicaid at Application - footnotes","Individuals Determined Eligible for CHIP at Application","Individuals Determined Eligible for CHIP at Application - footnotes","Total Medicaid and CHIP Determinations","Total Medicaid and CHIP Determinations - footnotes","Medicaid and CHIP Child Enrollment","Medicaid and CHIP Child Enrollment - footnotes","Total Medicaid and CHIP Enrollment","Total Medicaid and CHIP Enrollment - footnotes","Total Medicaid Enrollment","Total Medicaid Enrollment - footnotes","Total CHIP Enrollment","Total CHIP Enrollment - footnotes","Total Adult Medicaid Enrollment","Total Adult Medicaid Enrollment - footnotes","Total Medicaid and CHIP Determinations Processed in Less than 24 Hours","Total Medicaid and CHIP Determinations Processed in Less than 24 Hours - footnotes","Total Medicaid and CHIP Determinations Processed Between 24 Hours and 7 Days","Total Medicaid and CHIP Determinations Processed Between 24 Hours and 7 Days - footnotes","Total Medicaid and CHIP Determinations Processed Between 8 Days and 30 Days","Total Medicaid and CHIP Determinations Processed Between 8 Days and 30 Days - footnotes","Total Medicaid and CHIP Determinations Processed between 31 days and 45 days","Total Medicaid and CHIP Determinations Processed between 31 days and 45 days - footnotes","Total Medicaid and CHIP Determinations Processed in More than 45 Days","Total Medicaid and CHIP Determinations Processed in More than 45 Days - footnotes","Total Call Center Volume (Number of Calls)","Total Call Center Volume (Number of Calls) - footnotes","Average Call Center Wait Time (Minutes)","Average Call Center Wait Time (Minutes) - footnotes","Average Call Center Abandonment Rate","Average Call Center Abandonment Rate - footnotes"
AK,Alaska,201309,N,U,Y,,,,,,,,,,,,,,,122334,,,,,,,,,,,,,,,,,,,,,,,
AK,Alaska,201706,Y,P,N,3017,"Includes Renewals and/or Redeterminations",0,,3017,"Includes Renewals and/or Redeterminations",3422,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,3422,"Includes Renewals and/or Redeterminations",88766,,191171,,179001,,12170,,,,,,,,,,,,,,,,,,,
AK,Alaska,201706,Y,U,Y,3069,"Includes Renewals and/or Redeterminations",0,,3069,"Includes Renewals and/or Redeterminations",3422,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,3422,"Includes Renewals and/or Redeterminations",90081,,194534,,182080,,12454,,,,,,,,,,,,,,,,,,,
AK,Alaska,201707,Y,P,N,3187,"Includes Renewals and/or Redeterminations",0,,3187,"Includes Renewals and/or Redeterminations",3159,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,3159,"Includes Renewals and/or Redeterminations",89358,,193019,,180641,,12378,,,,,,,,,,,,,,,,,,,
AK,Alaska,201707,Y,U,Y,3265,"Includes Renewals and/or Redeterminations",0,,3265,"Includes Renewals and/or Redeterminations",3159,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,3159,"Includes Renewals and/or Redeterminations",90562,,196121,,183516,,12605,,,,,,,,,,,,,,,,,,,
AK,Alaska,201708,Y,P,N,3911,"Includes Renewals and/or Redeterminations",0,,3911,"Includes Renewals and/or Redeterminations",3187,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,3187,"Includes Renewals and/or Redeterminations",90085,,194909,,182349,,12560,,,,,,,,,,,,,,,,,,,
AK,Alaska,201708,Y,U,Y,3967,"Includes Renewals and/or Redeterminations",0,,3967,"Includes Renewals and/or Redeterminations",3187,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,3187,"Includes Renewals and/or Redeterminations",91294,,197834,,185071,,12763,,,,,,,,,,,,,,,,,,,
AK,Alaska,201709,Y,P,N,3492,"Includes Renewals and/or Redeterminations",0,,3492,"Includes Renewals and/or Redeterminations",2664,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2664,"Includes Renewals and/or Redeterminations",90439,,195913,,183311,,12602,,,,,,,,,,,,,,,,,,,
AK,Alaska,201709,Y,U,Y,3553,"Includes Renewals and/or Redeterminations",0,,3553,"Includes Renewals and/or Redeterminations",2664,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2664,"Includes Renewals and/or Redeterminations",91550,,198742,,185974,,12768,,,,,,,,,,,,,,,,,,,
AK,Alaska,201710,Y,P,N,3497,"Includes Renewals and/or Redeterminations",0,,3497,"Includes Renewals and/or Redeterminations",2961,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2961,"Includes Renewals and/or Redeterminations",90933,,197433,,184678,,12755,,,,,,,,,,,,,,,,,,,
