State,Reporting period,Release date,Metric name ,Value ,Data notes
AK,202407,202410,Total number of Medicaid and CHIP beneficiaries for whom a renewal was initiated in the reporting month (Metric 4),33887,
AK,202407,202410,Total number of beneficiaries due for renewal in the reporting month (Metric 5),35187,
AK,202407,202410,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed (Metric 5a),12630,
AK,202407,202410,Total beneficiaries renewed on an ex parte basis (i.e. based on available information) (Metric 5a1),9852,R8
AK,202407,202410,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),2778,
AK,202407,202410,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),1959,R4
AK,202407,202410,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form (Metric 5b),1720,
AK,202407,202410,Total beneficiaries whose coverage was terminated for a procedural or administrative reason (Metric 5c),239,R4
AK,202407,202410,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),20598,
AK,202407,202410,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),0.3589,
AK,202407,202410,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month (Metric 5a1 / 5),0.28,R8
AK,202407,202410,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5a2 / 5),0.0789,
AK,202407,202410,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),0.0557,R4
AK,202407,202410,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),0.0489,
AK,202407,202410,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month (Metric 5c / 5),0.0068,R4
AK,202407,202410,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month (Metric 5d / 5),0.5854,
AK,202407,202410,Total call center volume (number of calls),28449,C5
AK,202407,202410,Average call center wait time (minutes),20,"C2, C5, C9"
AK,202303,202410,Average call center abandonment rate,0.27,C5
AK,202406,202409,Total number of Medicaid and CHIP beneficiaries for whom a renewal was initiated in the reporting month (Metric 4),34965,
AK,202406,202409,Total number of beneficiaries due for renewal in the reporting month (Metric 5),28805,
AK,202406,202409,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed (Metric 5a),12542,
AK,202406,202409,Total beneficiaries renewed on an ex parte basis (i.e. based on available information) (Metric 5a1),10258,R8
AK,202406,202409,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),2284,
AK,202406,202409,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),2135,R4
AK,202406,202409,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form (Metric 5b),1798,
AK,202406,202409,Total beneficiaries whose coverage was terminated for a procedural or administrative reason (Metric 5c),337,R4
AK,202406,202409,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),14128,
AK,202406,202409,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),0.4354,
AK,202406,202409,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month (Metric 5a1 / 5),0.3561,R8
AK,202406,202409,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5a2 / 5),0.0793,
AK,202406,202409,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),0.0741,R4
AK,202406,202409,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),0.0624,
AK,202406,202409,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month (Metric 5c / 5),0.0117,R4
AK,202406,202409,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month (Metric 5d / 5),0.4905,
AK,202406,202410,Total call center volume (number of calls),22372,C5
AK,202406,202410,Average call center wait time (minutes),8,"C2, C5, C9"
AL,202303,202410,Average call center abandonment rate,0.058,"C4, C6"
AK,202405,202408,Total number of Medicaid and CHIP beneficiaries for whom a renewal was initiated in the reporting month (Metric 4),27579,
AK,202405,202408,Total number of beneficiaries due for renewal in the reporting month (Metric 5),14042,
AK,202405,202408,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed (Metric 5a),6373,
AK,202405,202408,Total beneficiaries renewed on an ex parte basis (i.e. based on available information) (Metric 5a1),4282,R8
AK,202405,202408,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),2091,
AK,202405,202408,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),1933,R4
AK,202405,202408,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form (Metric 5b),1651,
AK,202405,202408,Total beneficiaries whose coverage was terminated for a procedural or administrative reason (Metric 5c),282,R4
AK,202405,202408,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),5736,
AK,202405,202408,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),0.4539,
AK,202405,202408,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month (Metric 5a1 / 5),0.3049,R8
AK,202405,202408,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5a2 / 5),0.1489,
AK,202405,202408,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),0.1377,R4
AK,202405,202408,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),0.1176,
AK,202405,202408,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month (Metric 5c / 5),0.0201,R4
AK,202405,202408,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month (Metric 5d / 5),0.4085,
AK,202405,202410,Total call center volume (number of calls),21965,C5
AK,202405,202410,Average call center wait time (minutes),8,"C2, C5, C9"
AR,202303,202410,Average call center abandonment rate,0.152,"C5, C6"
AK,202404,202407,Total number of Medicaid and CHIP beneficiaries for whom a renewal was initiated in the reporting month (Metric 4),13290,
AK,202404,202407,Total number of beneficiaries due for renewal in the reporting month (Metric 5),13553,
AK,202404,202407,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed (Metric 5a),6376,
AK,202404,202407,Total beneficiaries renewed on an ex parte basis (i.e. based on available information) (Metric 5a1),4879,R8
AK,202404,202407,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),1497,
AK,202404,202407,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),1914,R4
AK,202404,202407,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form (Metric 5b),1633,
AK,202404,202407,Total beneficiaries whose coverage was terminated for a procedural or administrative reason (Metric 5c),281,R4
AK,202404,202407,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),5263,
AK,202404,202407,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),0.4704,
AK,202404,202407,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month (Metric 5a1 / 5),0.36,R8
AK,202404,202407,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5a2 / 5),0.1105,
AK,202404,202407,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),0.1412,R4
AK,202404,202407,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),0.1205,
AK,202404,202407,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month (Metric 5c / 5),0.0207,R4
AK,202404,202407,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month (Metric 5d / 5),0.3883,
AK,202404,202410,Total call center volume (number of calls),24009,C5
AK,202404,202410,Average call center wait time (minutes),12,"C2, C5, C9"
AZ,202303,202410,Average call center abandonment rate,0.139,"C4, C5, C6"
AK,202403,202406,Total number of Medicaid and CHIP beneficiaries for whom a renewal was initiated in the reporting month (Metric 4),12989,
AK,202403,202406,Total number of beneficiaries due for renewal in the reporting month (Metric 5),16229,
AK,202403,202406,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed (Metric 5a),7646,
AK,202403,202406,Total beneficiaries renewed on an ex parte basis (i.e. based on available information) (Metric 5a1),5598,R8
AK,202403,202406,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),2048,
AK,202403,202406,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),2533,R4
AK,202403,202406,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form (Metric 5b),1843,
